Batch Size,Model Name,Compilation Type,Time,Device,Component
32,openMUSE/muse-laiona6-uvit-clip-220k,None,2400.0,a100,full
32,runwayml/stable-diffusion-v1-5,None,12000.0,a100,full
32,openMUSE/muse-laiona6-uvit-clip-220k,default,2400.0,a100,full
32,runwayml/stable-diffusion-v1-5,default,10500.0,a100,full
32,openMUSE/muse-laiona6-uvit-clip-220k,reduce-overhead,2400.0,a100,full
32,runwayml/stable-diffusion-v1-5,reduce-overhead,10400.0,a100,full
1,openMUSE/muse-laiona6-uvit-clip-220k,None,13000.0,cpu,full
1,runwayml/stable-diffusion-v1-5,None,118400.0,cpu,full
1,openMUSE/muse-laiona6-uvit-clip-220k,default,12900.0,cpu,full
1,runwayml/stable-diffusion-v1-5,default,79000.0,cpu,full
1,openMUSE/muse-laiona6-uvit-clip-220k,reduce-overhead,12900.0,cpu,full
1,runwayml/stable-diffusion-v1-5,reduce-overhead,78900.0,cpu,full
2,openMUSE/muse-laiona6-uvit-clip-220k,None,22100.0,cpu,full
2,openMUSE/muse-laiona6-uvit-clip-220k,default,22100.0,cpu,full
4,openMUSE/muse-laiona6-uvit-clip-220k,None,42200.0,cpu,full
4,openMUSE/muse-laiona6-uvit-clip-220k,default,42600.0,cpu,full
8,openMUSE/muse-laiona6-uvit-clip-220k,None,82600.0,cpu,full
8,openMUSE/muse-laiona6-uvit-clip-220k,default,82500.0,cpu,full
1,williamberman/laiona6plus_uvit_clip_f8,None,115.4,4090,full
1,williamberman/laiona6plus_uvit_clip_f8,default,115.7,4090,full
1,williamberman/laiona6plus_uvit_clip_f8,reduce-overhead,116.9,4090,full
2,williamberman/laiona6plus_uvit_clip_f8,None,206.5,4090,full
2,williamberman/laiona6plus_uvit_clip_f8,default,205.4,4090,full
2,williamberman/laiona6plus_uvit_clip_f8,reduce-overhead,205.9,4090,full
4,williamberman/laiona6plus_uvit_clip_f8,None,315.1,4090,full
4,williamberman/laiona6plus_uvit_clip_f8,default,315.5,4090,full
4,williamberman/laiona6plus_uvit_clip_f8,reduce-overhead,316.2,4090,full
8,williamberman/laiona6plus_uvit_clip_f8,None,645.2,4090,full
8,williamberman/laiona6plus_uvit_clip_f8,default,647.3,4090,full
8,williamberman/laiona6plus_uvit_clip_f8,reduce-overhead,645.5,4090,full
16,williamberman/laiona6plus_uvit_clip_f8,None,1400.0,4090,full
16,williamberman/laiona6plus_uvit_clip_f8,default,1400.0,4090,full
16,williamberman/laiona6plus_uvit_clip_f8,reduce-overhead,1400.0,4090,full
32,williamberman/laiona6plus_uvit_clip_f8,None,3000.0,4090,full
32,williamberman/laiona6plus_uvit_clip_f8,default,3000.0,4090,full
32,williamberman/laiona6plus_uvit_clip_f8,reduce-overhead,3000.0,4090,full
1,williamberman/laiona6plus_uvit_clip_f8,None,356.0,a100,full
1,williamberman/laiona6plus_uvit_clip_f8,default,360.6,a100,full
1,williamberman/laiona6plus_uvit_clip_f8,reduce-overhead,359.3,a100,full
2,williamberman/laiona6plus_uvit_clip_f8,None,407.5,a100,full
2,williamberman/laiona6plus_uvit_clip_f8,default,419.2,a100,full
2,williamberman/laiona6plus_uvit_clip_f8,reduce-overhead,417.1,a100,full
4,williamberman/laiona6plus_uvit_clip_f8,None,492.1,a100,full
4,williamberman/laiona6plus_uvit_clip_f8,default,496.6,a100,full
4,williamberman/laiona6plus_uvit_clip_f8,reduce-overhead,495.0,a100,full
8,williamberman/laiona6plus_uvit_clip_f8,None,789.4,a100,full
8,williamberman/laiona6plus_uvit_clip_f8,default,790.0,a100,full
8,williamberman/laiona6plus_uvit_clip_f8,reduce-overhead,790.1,a100,full
16,williamberman/laiona6plus_uvit_clip_f8,None,1600.0,a100,full
16,williamberman/laiona6plus_uvit_clip_f8,default,1600.0,a100,full
16,williamberman/laiona6plus_uvit_clip_f8,reduce-overhead,1600.0,a100,full
32,williamberman/laiona6plus_uvit_clip_f8,None,3000.0,a100,full
32,williamberman/laiona6plus_uvit_clip_f8,default,3000.0,a100,full
32,williamberman/laiona6plus_uvit_clip_f8,reduce-overhead,3000.0,a100,full
1,williamberman/laiona6plus_uvit_clip_f8,None,554.5,t4,full
