Batch Size,Model Name,Compilation Type,Median,Mean,Device,Component,Timesteps,Max Memory
1,williamberman/laiona6plus_uvit_clip_f8,reduce-overhead,1.9909425778314476,1.9925634687145553,4090,vae,,211839488
2,williamberman/laiona6plus_uvit_clip_f8,None,1.8914468958973885,1.8941050535067918,4090,vae,,211223040
2,williamberman/laiona6plus_uvit_clip_f8,default,1.9197211368009448,1.9196105065445106,4090,vae,,211223040
2,williamberman/laiona6plus_uvit_clip_f8,reduce-overhead,1.9286997430026531,1.928803389891982,4090,vae,,211223040
4,williamberman/laiona6plus_uvit_clip_f8,None,1.9230247568339107,1.9228303184111912,4090,vae,,215286272
4,williamberman/laiona6plus_uvit_clip_f8,default,1.8194398982450364,1.820771574663619,4090,vae,,215286272
4,williamberman/laiona6plus_uvit_clip_f8,reduce-overhead,1.8358099926263096,1.8342984995494287,4090,vae,,215286272
8,williamberman/laiona6plus_uvit_clip_f8,None,2.480844957754016,2.480831760913134,4090,vae,,219881984
8,williamberman/laiona6plus_uvit_clip_f8,default,2.4792660493403673,2.4792098961770535,4090,vae,,219881984
8,williamberman/laiona6plus_uvit_clip_f8,reduce-overhead,2.480388358235359,2.480303980410099,4090,vae,,219881984
16,williamberman/laiona6plus_uvit_clip_f8,None,4.676138190552592,4.675871823829684,4090,vae,,261087744
16,williamberman/laiona6plus_uvit_clip_f8,default,4.677786724641919,4.676827690987425,4090,vae,,261087744
16,williamberman/laiona6plus_uvit_clip_f8,reduce-overhead,4.674529656767845,4.674506716599518,4090,vae,,261087744
32,williamberman/laiona6plus_uvit_clip_f8,None,9.646578039973974,9.646896882490678,4090,vae,,445702656
32,williamberman/laiona6plus_uvit_clip_f8,default,9.64654702693224,9.647424138066444,4090,vae,,445702656
32,williamberman/laiona6plus_uvit_clip_f8,reduce-overhead,9.643536992371082,9.643138310110027,4090,vae,,445702656
1,williamberman/laiona6plus_uvit_clip_f8,None,116.67261831462383,116.62700720545318,4090,full,12,1598507008
1,williamberman/laiona6plus_uvit_clip_f8,None,183.31005703657866,183.3059205673635,4090,full,20,1598507008
1,williamberman/laiona6plus_uvit_clip_f8,default,115.49927201122046,115.47876418464715,4090,full,12,1598507008
1,williamberman/laiona6plus_uvit_clip_f8,default,185.34084875136614,185.31633960083127,4090,full,20,1598507008
1,williamberman/laiona6plus_uvit_clip_f8,reduce-overhead,115.38242176175117,115.37571841229995,4090,full,12,1598507008
1,williamberman/laiona6plus_uvit_clip_f8,reduce-overhead,184.23206266015768,184.21301261211434,4090,full,20,1598507008
2,williamberman/laiona6plus_uvit_clip_f8,None,205.89876919984818,205.88075499981642,4090,full,12,1631015424
2,williamberman/laiona6plus_uvit_clip_f8,None,328.4522392787039,328.46631738357246,4090,full,20,1631015424
2,williamberman/laiona6plus_uvit_clip_f8,default,205.69254737347364,205.67441191524267,4090,full,12,1631015424
2,williamberman/laiona6plus_uvit_clip_f8,default,328.7909161299467,328.8047187961638,4090,full,20,1631015424
2,williamberman/laiona6plus_uvit_clip_f8,reduce-overhead,205.40073700249195,205.38863465189934,4090,full,12,1631015424
2,williamberman/laiona6plus_uvit_clip_f8,reduce-overhead,328.4982102923095,328.53886764496565,4090,full,20,1631015424
4,williamberman/laiona6plus_uvit_clip_f8,None,314.71574073657393,314.7182706743479,4090,full,12,1841766912
4,williamberman/laiona6plus_uvit_clip_f8,None,497.83389270305634,497.8457158431411,4090,full,20,1841766912
4,williamberman/laiona6plus_uvit_clip_f8,default,315.9196963533759,315.89409918524325,4090,full,12,1841766912
4,williamberman/laiona6plus_uvit_clip_f8,default,497.58274015039206,497.59905723234016,4090,full,20,1841766912
4,williamberman/laiona6plus_uvit_clip_f8,reduce-overhead,314.8641115985811,314.9143240880221,4090,full,12,1841766912
4,williamberman/laiona6plus_uvit_clip_f8,reduce-overhead,498.3653947710991,498.26875422149897,4090,full,20,1841766912
8,williamberman/laiona6plus_uvit_clip_f8,None,639.8446024395525,639.8446024395525,4090,full,12,2275786752
8,williamberman/laiona6plus_uvit_clip_f8,None,1017.057160846889,1017.057160846889,4090,full,20,2275786752
8,williamberman/laiona6plus_uvit_clip_f8,default,641.575641464442,641.575641464442,4090,full,12,2275786752
8,williamberman/laiona6plus_uvit_clip_f8,default,1016.4816444739699,1016.4816444739699,4090,full,20,2275786752
8,williamberman/laiona6plus_uvit_clip_f8,reduce-overhead,641.221244353801,641.221244353801,4090,full,12,2275786752
8,williamberman/laiona6plus_uvit_clip_f8,reduce-overhead,1017.9575206711888,1017.9575206711888,4090,full,20,2275786752
16,williamberman/laiona6plus_uvit_clip_f8,None,1431.1913466081023,1431.1913466081023,4090,full,12,3165478912
16,williamberman/laiona6plus_uvit_clip_f8,None,2282.9345781356096,2282.9345781356096,4090,full,20,3165478912
16,williamberman/laiona6plus_uvit_clip_f8,default,1426.9162015989423,1426.9162015989423,4090,full,12,3165478912
16,williamberman/laiona6plus_uvit_clip_f8,default,2272.7066790685058,2272.7066790685058,4090,full,20,3165478912
16,williamberman/laiona6plus_uvit_clip_f8,reduce-overhead,1428.3165764063597,1428.3165764063597,4090,full,12,3165478912
16,williamberman/laiona6plus_uvit_clip_f8,reduce-overhead,2276.8506668508053,2276.8506668508053,4090,full,20,3165478912
32,williamberman/laiona6plus_uvit_clip_f8,None,2972.7544179186225,2972.7544179186225,4090,full,12,4943020032
32,williamberman/laiona6plus_uvit_clip_f8,None,4730.410555377603,4730.410555377603,4090,full,20,4943020032
32,williamberman/laiona6plus_uvit_clip_f8,default,2963.0046263337135,2963.0046263337135,4090,full,12,4943020032
32,williamberman/laiona6plus_uvit_clip_f8,default,4730.1435535773635,4730.1435535773635,4090,full,20,4943020032
32,williamberman/laiona6plus_uvit_clip_f8,reduce-overhead,2962.904691696167,2962.904691696167,4090,full,12,4943020032
32,williamberman/laiona6plus_uvit_clip_f8,reduce-overhead,4752.846756950021,4752.846756950021,4090,full,20,4943020032
